gameID,teamID,season,goals,goals_percent,shots,shotsOnTarget,fouls,corners,yellowCards,redCards,result
81,89,2015,1,62.75,9,1,12,1,2,0,W
81,82,2015,0,67.46,9,4,12,2,3,0,L
82,73,2015,0,87.61,11,2,13,6,3,0,L
82,71,2015,1,78.23,7,3,13,3,4,0,W
83,72,2015,2,60.42,10,5,7,8,1,0,D
83,90,2015,2,55.79,11,5,13,2,2,0,D
84,75,2015,4,256.8,19,8,13,6,2,0,W
84,77,2015,2,145.95,11,5,17,3,4,0,L
85,79,2015,1,113.08,17,6,14,1,1,0,L
85,78,2015,3,210.98,11,7,20,4,0,0,W
86,80,2015,2,64.4,11,3,15,4,1,1,D
86,84,2015,2,259.2,17,10,16,8,3,0,D
87,86,2015,2,154.61,9,4,9,6,2,0,D
87,74,2015,2,125.29,14,4,12,6,4,0,D
88,83,2015,0,133.17,22,6,12,5,1,0,L
88,81,2015,2,53.6,8,4,9,4,3,0,W
89,85,2015,0,38.13,7,1,9,3,2,0,L
89,87,2015,1,32.99,8,3,16,5,4,0,W
90,76,2015,0,43.52,9,2,12,6,4,0,L
90,88,2015,3,192.42,20,7,9,6,1,0,W
91,71,2015,0,21.91,5,1,14,3,2,0,L
91,89,2015,1,66.04,9,2,10,5,2,0,W
92,74,2015,0,106.21,17,4,11,9,4,0,L
92,72,2015,3,139.63,10,4,10,9,2,0,W
93,77,2015,1,32.91,6,2,7,6,1,0,L
93,79,2015,3,171.69,18,6,7,6,2,0,W
94,84,2015,2,197.42,19,6,11,4,2,0,W
94,86,2015,0,11.31,4,2,8,4,1,1,L
95,82,2015,2,170.61,13,7,15,4,2,0,D
95,85,2015,2,280.96,15,7,11,3,2,0,D
96,90,2015,0,76.08,16,5,13,2,1,0,D
96,76,2015,0,68.4,6,0,10,4,2,0,D
97,81,2015,1,51.35,10,3,11,8,1,1,L
97,75,2015,2,180.94,10,5,12,4,3,0,W
98,78,2015,1,96.41,11,4,14,6,1,0,L
98,83,2015,2,205.54,20,7,12,6,1,0,W
99,88,2015,3,218.58,18,8,19,5,4,0,W
99,80,2015,0,48.24,10,3,13,1,2,0,L
100,87,2015,1,215.06,18,2,11,6,1,0,W
100,73,2015,0,46.08,13,2,18,8,4,0,L
101,89,2015,0,124.91,20,8,15,11,2,0,D
101,86,2015,0,43.84,7,0,11,5,2,0,D
102,79,2015,1,314.89,20,7,16,9,4,0,D
102,85,2015,1,69.82,6,1,5,0,1,0,D
103,77,2015,1,56.94,10,2,16,3,4,0,D
103,84,2015,1,156.06,20,9,9,4,2,0,D
104,78,2015,2,123.81,16,6,12,6,3,0,W
104,71,2015,1,76.53,11,2,15,4,3,0,L
105,75,2015,1,82.9,13,2,7,2,1,0,D
105,82,2015,1,189.44,19,6,14,7,4,0,D
106,81,2015,3,150.2,10,4,8,5,0,1,L
106,73,2015,4,285.54,15,7,11,4,0,0,W
107,76,2015,2,142.62,15,6,9,8,2,0,L
107,80,2015,3,202.78,15,5,12,7,1,1,W
108,72,2015,0,57.93,10,1,5,8,0,0,L
108,88,2015,2,157.98,16,9,7,7,3,0,W
109,90,2015,0,117.59,13,0,10,5,0,0,D
109,74,2015,0,68.36,14,5,11,2,2,0,D
110,83,2015,0,183.76,19,5,2,7,1,0,D
110,87,2015,0,129.21,15,8,13,8,4,0,D
111,86,2015,0,3.2,1,0,15,0,6,1,L
111,83,2015,1,233.95,22,9,8,9,1,0,W
112,85,2015,0,121.77,13,5,4,6,1,2,L
112,76,2015,1,88.12,15,5,9,5,4,0,W
113,71,2015,2,227.41,21,6,10,5,2,0,D
113,77,2015,2,36.88,7,3,14,4,1,0,D
114,73,2015,1,32.14,5,2,9,4,2,0,D
114,75,2015,1,91.91,4,2,19,4,4,0,D
115,80,2015,1,127.91,26,9,9,7,1,0,L
115,78,2015,2,219.28,13,5,15,7,1,0,W
116,87,2015,0,56.17,13,1,17,5,3,1,L
116,81,2015,3,97.22,12,5,11,7,1,1,W
117,88,2015,2,152.9,18,5,9,9,1,0,W
117,90,2015,0,36.36,7,0,12,3,2,0,L
118,82,2015,0,199.92,20,6,20,6,4,0,D
118,72,2015,0,69.47,8,3,9,2,1,0,D
119,74,2015,3,285.5,23,8,4,6,0,0,W
119,79,2015,0,63.94,6,1,12,4,0,1,L
120,84,2015,2,97.12,9,4,6,0,2,0,W
120,89,2015,1,128.09,11,4,15,1,2,0,L
121,72,2015,3,118.03,14,9,12,7,2,0,W
121,80,2015,1,65.6,15,2,12,14,2,0,L
122,83,2015,2,442.68,29,12,6,13,1,0,W
122,85,2015,0,19.13,8,3,13,1,1,0,L
123,78,2015,0,74.32,10,2,13,4,2,0,L
123,88,2015,1,308.88,21,7,13,4,3,0,W
124,90,2015,1,157.33,17,6,11,1,1,1,W
124,84,2015,0,50.3,8,3,14,3,1,0,L
125,76,2015,0,40.91,8,1,5,4,1,0,D
125,74,2015,0,100.73,15,4,5,5,0,0,D
126,79,2015,3,133.15,12,4,10,4,2,0,W
126,73,2015,1,38.95,7,2,11,4,3,0,L
127,89,2015,3,146.21,9,3,6,4,1,0,W
127,87,2015,1,102.57,8,4,11,4,2,0,L
128,77,2015,0,104.07,12,2,11,6,2,0,L
128,82,2015,1,145.62,15,4,12,8,1,0,W
129,75,2015,3,134.99,21,6,8,4,2,0,W
129,71,2015,2,95.32,11,4,13,5,1,0,L
130,81,2015,2,171.28,17,3,8,6,0,0,W
130,86,2015,0,71.66,14,4,11,7,2,0,L
131,80,2015,2,206.87,22,6,12,5,3,0,W
